"txid","refid","time","type","aclass","asset","amount","fee","balance"
"L7EJZU-PEFK7-TUVLSI","TDJZ5Q-T4WAA-Y7UFCD","2018-05-03 05:48:06","trade","currency","EOS",4.0000000000,0.0000000000,13.9920000000
"LP4T73-33OKY-XVVVBH","TKX6MH-AO5QN-LGTPPW","2018-05-03 08:18:30","trade","currency","ZEUR",-21.0000,0.0336,26.1086
"LLGXE4-KJQU2-VWJVKU","TKX6MH-AO5QN-LGTPPW","2018-05-03 08:18:30","trade","currency","XXRP",30.00000000,0.00000000,30.00000972
"L3UNXN-YD6BF-EP7QQG","T64PMU-5L7DS-WQ3PLS","2018-05-10 20:28:07","trade","currency","ZEUR",-24.0000,0.0384,2.0702
"LWXNP6-YN4AQ-EOBPGJ","T64PMU-5L7DS-WQ3PLS","2018-05-10 20:28:07","trade","currency","XXLM",80.00000000,0.00000000,379.76000000
"","QCC2AFB-JPZ57L-WN7XJ5","2018-05-31 07:04:54","deposit","currency","ZEUR",100.0000,0.0000,""
"L7NGGH-YAGCF-JBV6XD","QCC2AFB-JPZ57L-WN7XJ5","2018-05-31 07:15:17","deposit","currency","ZEUR",100.0000,0.0000,102.0702
"LJEMEZ-QHXOW-6VFS6U","TMMTCE-GS7G2-IQGOMT","2018-07-11 09:13:27","trade","currency","ZEUR",-50.0000,0.0800,51.9902
"LFBC4M-WHCCN-IBKBFP","TMMTCE-GS7G2-IQGOMT","2018-07-11 09:13:27","trade","currency","XXBT",0.0092165800,0.0000000000,0.0092165800
"LVB7MH-2VJRF-EHGSZJ","TW4KYE-HBA4K-PEPCOK","2018-07-12 06:25:47","trade","currency","ZEUR",-50.0000,0.0800,1.9102
"LSA3OE-DTYUF-TMVR4Z","TW4KYE-HBA4K-PEPCOK","2018-07-12 06:25:47","trade","currency","XLTC",0.7692307600,0.0000000000,0.7692317000
"","AGBK2VE-MJHDQ5-43AA2D","2018-07-12 09:35:05","withdrawal","currency","XXBT",-0.0087100000,0.0005000000,""
"","AIBCSBD-KKAC5B-VE2BYU","2018-07-12 09:36:30","withdrawal","currency","XXRP",-29.98000000,0.02000000,""
"LYED5R-ZQ3W5-S3CJSD","AIBCSBD-KKAC5B-VE2BYU","2018-07-12 09:40:28","withdrawal","currency","XXRP",-29.98000000,0.02000000,0.00000972
"","AMBRIKZ-3LV62B-AHQYKX","2018-07-12 09:42:42","withdrawal","currency","XLTC",-0.7682300000,0.0010000000,""
"LECTTS-ANNSF-PTO7DS","AMBRIKZ-3LV62B-AHQYKX","2018-07-12 09:56:13","withdrawal","currency","XLTC",-0.7682300000,0.0010000000,0.0000017000
"LQHKCX-QLNAZ-BMWWCQ","AGBK2VE-MJHDQ5-43AA2D","2018-07-12 10:05:05","withdrawal","currency","XXBT",-0.0087100000,0.0005000000,0.0000065800
"LJXPU6-BCTOK-YIYGLL","LAJ7HOZ-XET5P-ZL7V2O","2018-11-19 01:07:42","transfer","currency","BSV",0.0000016900,0.0000000000,0.0000016900
"","QCCNWTS-ZZAHJ2-54XIN7","2019-04-03 07:22:36","deposit","currency","ZEUR",250.0000,0.0000,""
"","ACCWD4A-7Y7UIX-4IYYMF","2019-04-09 21:26:46","withdrawal","currency","ZEUR",-249.9100,0.0900,""
"LIXGZD-Y44ME-42Q6VZ","TZSF64-UIAZX-SS76FC","2019-07-12 14:42:47","trade","currency","ZEUR",-1.9071,0.0031,0.0000
"LFH77H-EBWAE-DQ2AWR","TZSF64-UIAZX-SS76FC","2019-07-12 14:42:47","trade","currency","ADA",30.95941558,0.00000000,30.95941558
"","QCCG32V-Q2VV75-AMGGET","2019-07-25 12:02:36","deposit","currency","ZEUR",50.0000,0.0000,""
"L2A4OU-SR6GY-EAZM4O","QCCG32V-Q2VV75-AMGGET","2019-08-02 12:40:59","deposit","currency","ZEUR",50.0000,0.0000,50.0000
"LGDL5N-JNOXD-TIIKUR","TH2OBE-RQSWW-KWWR3X","2019-08-02 16:34:46","trade","currency","ZEUR",-49.9201,0.0799,0.0000
"LN662M-MYC7T-TET2BM","TH2OBE-RQSWW-KWWR3X","2019-08-02 16:34:46","trade","currency","XLTC",0.5804662800,0.0000000000,0.5804679800
"LQTUZX-AJY66-CNHZC3","LANGX4H-QJGBS-MURRKY","2019-12-08 07:11:43","transfer","currency","BSV",-0.0000016900,0.0000000000,0.0000000000
